test_name,gpu_enabled,execution_time_ms
simple_scan,on,2591.157,run1
simple_scan,on,2356.753,run2
simple_scan,on,2356.243,run3
simple_scan,on,2373.647,run4
simple_scan,on,2370.388,run5
simple_scan,on,2351.138,run6
simple_scan,on,2354.711,run7
simple_scan,on,2359.206,run8
simple_scan,off,2779.817,run1
simple_scan,off,2746.115,run2
simple_scan,off,2784.105,run3
simple_scan,off,2731.943,run4
simple_scan,off,2744.836,run5
simple_scan,off,2739.058,run6
simple_scan,off,2748.069,run7
simple_scan,off,2743.951,run8
subset_join,on,2735.205,run1
subset_join,on,2543.010,run2
subset_join,on,2508.764,run3
subset_join,on,2557.909,run4
subset_join,on,2543.284,run5
subset_join,on,2565.772,run6
subset_join,on,2529.254,run7
subset_join,on,2528.743,run8
subset_join,off,3328.330,run1
subset_join,off,3327.940,run2
subset_join,off,3315.453,run3
subset_join,off,3311.348,run4
subset_join,off,3319.902,run5
subset_join,off,3312.778,run6
subset_join,off,3329.630,run7
subset_join,off,3306.668,run8
large_join,on,2269.949,run1
large_join,on,2163.971,run2
large_join,on,2168.750,run3
large_join,on,2128.080,run4
large_join,on,2127.066,run5
large_join,on,2145.358,run6
large_join,on,2213.273,run7
large_join,on,2181.403,run8
large_join,off,2505.565,run1
large_join,off,2507.569,run2
large_join,off,2506.405,run3
large_join,off,2521.169,run4
large_join,off,2518.304,run5
large_join,off,2514.574,run6
large_join,off,2502.500,run7
large_join,off,2527.500,run8
simple_math,on,3532.565,run1
simple_math,on,3317.548,run2
simple_math,on,3278.125,run3
simple_math,on,3330.682,run4
simple_math,on,3300.066,run5
simple_math,on,3298.941,run6
simple_math,on,3318.054,run7
simple_math,on,3343.554,run8
simple_math,off,4037.711,run1
simple_math,off,4037.623,run2
simple_math,off,4051.848,run3
simple_math,off,4045.593,run4
simple_math,off,4059.537,run5
simple_math,off,4025.106,run6
simple_math,off,4040.718,run7
simple_math,off,4058.072,run8
complex_math,on,4121.079,run1
complex_math,on,4868.500,run2
complex_math,on,4800.669,run3
complex_math,on,4817.469,run4
complex_math,on,4839.030,run5
complex_math,on,4815.768,run6
complex_math,on,4991.034,run7
complex_math,on,4814.091,run8
complex_math,off,4140.754,run1
complex_math,off,4093.385,run2
complex_math,off,4265.116,run3
complex_math,off,4135.440,run4
complex_math,off,4112.794,run5
complex_math,off,4128.973,run6
complex_math,off,4135.144,run7
complex_math,off,4122.892,run8
simple_ops,on,3511.186,run1
simple_ops,on,3307.880,run2
simple_ops,on,3318.336,run3
simple_ops,on,3278.787,run4
simple_ops,on,3305.268,run5
simple_ops,on,3295.545,run6
simple_ops,on,3325.389,run7
simple_ops,on,3322.220,run8
simple_ops,off,3910.801,run1
simple_ops,off,3918.353,run2
simple_ops,off,3903.988,run3
simple_ops,off,3924.177,run4
simple_ops,off,3899.425,run5
simple_ops,off,3896.674,run6
simple_ops,off,4038.298,run7
simple_ops,off,3931.889,run8
