timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 14:47:29.190, 0 %, 0 %, 3899 MiB, 46068 MiB, 64, 100.28 W
2025/07/17 14:47:29.191, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.98 W
2025/07/17 14:47:29.191, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.96 W
2025/07/17 14:47:30.192, 29 %, 5 %, 4027 MiB, 46068 MiB, 64, 110.75 W
2025/07/17 14:47:30.192, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:30.192, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 14:47:31.192, 1 %, 0 %, 4027 MiB, 46068 MiB, 64, 119.65 W
2025/07/17 14:47:31.192, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.05 W
2025/07/17 14:47:31.192, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 14:47:32.192, 24 %, 5 %, 4027 MiB, 46068 MiB, 64, 118.74 W
2025/07/17 14:47:32.192, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.04 W
2025/07/17 14:47:32.192, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 14:47:33.192, 2 %, 2 %, 4027 MiB, 46068 MiB, 64, 109.15 W
2025/07/17 14:47:33.192, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.05 W
2025/07/17 14:47:33.192, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 14:47:34.193, 7 %, 1 %, 4027 MiB, 46068 MiB, 64, 111.08 W
2025/07/17 14:47:34.193, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:34.193, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 14:47:35.193, 28 %, 9 %, 4027 MiB, 46068 MiB, 64, 105.22 W
2025/07/17 14:47:35.193, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:35.193, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 14:47:36.193, 1 %, 1 %, 4027 MiB, 46068 MiB, 64, 120.93 W
2025/07/17 14:47:36.193, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:36.193, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 14:47:37.193, 45 %, 8 %, 4027 MiB, 46068 MiB, 65, 109.32 W
2025/07/17 14:47:37.193, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:37.194, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 14:47:38.194, 71 %, 12 %, 4027 MiB, 46068 MiB, 65, 118.41 W
2025/07/17 14:47:38.195, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.06 W
2025/07/17 14:47:38.195, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 14:47:39.195, 19 %, 3 %, 4011 MiB, 46068 MiB, 64, 121.71 W
2025/07/17 14:47:39.195, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.04 W
2025/07/17 14:47:39.195, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 14:47:40.195, 9 %, 1 %, 4011 MiB, 46068 MiB, 64, 109.40 W
2025/07/17 14:47:40.195, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.05 W
2025/07/17 14:47:40.195, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 14:47:41.195, 7 %, 1 %, 4011 MiB, 46068 MiB, 64, 111.04 W
2025/07/17 14:47:41.195, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.95 W
2025/07/17 14:47:41.195, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.92 W
2025/07/17 14:47:42.195, 11 %, 2 %, 4011 MiB, 46068 MiB, 64, 110.44 W
2025/07/17 14:47:42.195, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 14:47:42.195, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 14:47:43.196, 45 %, 16 %, 4011 MiB, 46068 MiB, 65, 113.94 W
2025/07/17 14:47:43.196, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.93 W
2025/07/17 14:47:43.196, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 14:47:44.196, 13 %, 2 %, 4011 MiB, 46068 MiB, 64, 106.16 W
2025/07/17 14:47:44.196, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:44.196, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 14:47:45.196, 0 %, 0 %, 4011 MiB, 46068 MiB, 64, 117.29 W
2025/07/17 14:47:45.196, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.06 W
2025/07/17 14:47:45.196, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 14:47:46.196, 86 %, 16 %, 4011 MiB, 46068 MiB, 65, 116.16 W
2025/07/17 14:47:46.196, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.06 W
2025/07/17 14:47:46.196, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 14:47:47.197, 15 %, 2 %, 4011 MiB, 46068 MiB, 65, 127.40 W
2025/07/17 14:47:47.197, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.06 W
2025/07/17 14:47:47.197, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 14:47:48.197, 0 %, 0 %, 4011 MiB, 46068 MiB, 64, 120.50 W
2025/07/17 14:47:48.197, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.05 W
2025/07/17 14:47:48.197, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.02 W
2025/07/17 14:47:49.197, 44 %, 8 %, 4011 MiB, 46068 MiB, 65, 109.57 W
2025/07/17 14:47:49.197, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.05 W
2025/07/17 14:47:49.197, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 14:47:50.197, 0 %, 0 %, 3979 MiB, 46068 MiB, 64, 117.87 W
2025/07/17 14:47:50.198, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.92 W
2025/07/17 14:47:50.198, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.74 W
2025/07/17 14:47:51.198, 4 %, 1 %, 3979 MiB, 46068 MiB, 64, 106.54 W
2025/07/17 14:47:51.198, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.93 W
2025/07/17 14:47:51.198, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.74 W
2025/07/17 14:47:52.198, 3 %, 0 %, 3979 MiB, 46068 MiB, 64, 105.65 W
2025/07/17 14:47:52.198, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:52.198, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 14:47:53.198, 18 %, 5 %, 3979 MiB, 46068 MiB, 65, 117.56 W
2025/07/17 14:47:53.199, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.06 W
2025/07/17 14:47:53.199, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 14:47:54.199, 0 %, 0 %, 3979 MiB, 46068 MiB, 64, 113.85 W
2025/07/17 14:47:54.199, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.06 W
2025/07/17 14:47:54.199, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 14:47:55.199, 10 %, 3 %, 3979 MiB, 46068 MiB, 64, 101.92 W
2025/07/17 14:47:55.199, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:55.199, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 14:47:56.199, 14 %, 2 %, 3979 MiB, 46068 MiB, 65, 105.37 W
2025/07/17 14:47:56.199, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:56.199, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 14:47:57.199, 8 %, 1 %, 3979 MiB, 46068 MiB, 64, 106.70 W
2025/07/17 14:47:57.199, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:47:57.199, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 14:47:58.200, 33 %, 7 %, 3979 MiB, 46068 MiB, 65, 112.44 W
2025/07/17 14:47:58.200, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.06 W
2025/07/17 14:47:58.200, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.90 W
