timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 14:36:23.411, 0 %, 0 %, 3701 MiB, 46068 MiB, 60, 97.31 W
2025/07/17 14:36:23.411, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.87 W
2025/07/17 14:36:23.412, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.53 W
2025/07/17 14:36:24.412, 63 %, 12 %, 3701 MiB, 46068 MiB, 61, 104.26 W
2025/07/17 14:36:24.413, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.85 W
2025/07/17 14:36:24.413, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.53 W
2025/07/17 14:36:25.413, 0 %, 0 %, 3701 MiB, 46068 MiB, 60, 129.14 W
2025/07/17 14:36:25.413, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.81 W
2025/07/17 14:36:25.413, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.50 W
2025/07/17 14:36:26.413, 64 %, 14 %, 3701 MiB, 46068 MiB, 61, 113.43 W
2025/07/17 14:36:26.413, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 48.23 W
2025/07/17 14:36:26.413, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.58 W
2025/07/17 14:36:27.413, 20 %, 5 %, 3701 MiB, 46068 MiB, 61, 110.60 W
2025/07/17 14:36:27.413, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 64.77 W
2025/07/17 14:36:27.413, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.58 W
2025/07/17 14:36:28.413, 11 %, 2 %, 3701 MiB, 46068 MiB, 60, 111.27 W
2025/07/17 14:36:28.413, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 48.60 W
2025/07/17 14:36:28.413, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.49 W
2025/07/17 14:36:29.413, 0 %, 0 %, 3701 MiB, 46068 MiB, 60, 110.33 W
2025/07/17 14:36:29.414, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 32.07 W
2025/07/17 14:36:29.414, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.51 W
2025/07/17 14:36:30.414, 13 %, 2 %, 3701 MiB, 46068 MiB, 60, 113.36 W
2025/07/17 14:36:30.414, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:36:30.414, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.50 W
2025/07/17 14:36:31.414, 0 %, 0 %, 3701 MiB, 46068 MiB, 60, 112.44 W
2025/07/17 14:36:31.414, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:36:31.414, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.36 W
2025/07/17 14:36:32.414, 0 %, 0 %, 3685 MiB, 46068 MiB, 60, 112.54 W
2025/07/17 14:36:32.414, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.91 W
2025/07/17 14:36:32.414, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.24 W
2025/07/17 14:36:33.414, 19 %, 4 %, 3685 MiB, 46068 MiB, 61, 113.98 W
2025/07/17 14:36:33.414, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.81 W
2025/07/17 14:36:33.414, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.38 W
2025/07/17 14:36:34.415, 70 %, 13 %, 3685 MiB, 46068 MiB, 61, 110.83 W
2025/07/17 14:36:34.415, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:36:34.415, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.50 W
2025/07/17 14:36:35.415, 87 %, 17 %, 3685 MiB, 46068 MiB, 62, 123.13 W
2025/07/17 14:36:35.415, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:36:35.415, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.50 W
2025/07/17 14:36:36.415, 0 %, 0 %, 3685 MiB, 46068 MiB, 61, 131.76 W
2025/07/17 14:36:36.415, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:36:36.415, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.50 W
2025/07/17 14:36:37.415, 21 %, 4 %, 3685 MiB, 46068 MiB, 61, 110.14 W
