timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 15:19:43.318, 0 %, 0 %, 5687 MiB, 46068 MiB, 64, 100.70 W
2025/07/17 15:19:43.318, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.97 W
2025/07/17 15:19:43.319, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.95 W
2025/07/17 15:19:44.319, 17 %, 3 %, 5687 MiB, 46068 MiB, 64, 102.77 W
2025/07/17 15:19:44.319, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.96 W
2025/07/17 15:19:44.319, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.94 W
2025/07/17 15:19:45.319, 46 %, 7 %, 5687 MiB, 46068 MiB, 65, 106.41 W
2025/07/17 15:19:45.320, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:45.320, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:19:46.320, 11 %, 2 %, 5687 MiB, 46068 MiB, 64, 107.82 W
2025/07/17 15:19:46.320, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:46.320, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:19:47.320, 7 %, 1 %, 5687 MiB, 46068 MiB, 64, 102.01 W
2025/07/17 15:19:47.320, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:47.320, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:19:48.320, 9 %, 2 %, 5815 MiB, 46068 MiB, 64, 104.87 W
2025/07/17 15:19:48.320, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:48.320, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:19:49.320, 9 %, 1 %, 5815 MiB, 46068 MiB, 64, 104.15 W
2025/07/17 15:19:49.320, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:49.320, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:19:50.321, 3 %, 0 %, 5815 MiB, 46068 MiB, 64, 107.21 W
2025/07/17 15:19:50.321, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:19:50.321, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:19:51.321, 3 %, 0 %, 5815 MiB, 46068 MiB, 64, 108.80 W
2025/07/17 15:19:51.321, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:19:51.321, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:19:52.321, 18 %, 3 %, 5815 MiB, 46068 MiB, 64, 106.59 W
2025/07/17 15:19:52.321, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:52.321, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 15:19:53.321, 7 %, 1 %, 5815 MiB, 46068 MiB, 64, 105.74 W
2025/07/17 15:19:53.321, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:53.321, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:19:54.321, 25 %, 6 %, 5815 MiB, 46068 MiB, 64, 102.99 W
2025/07/17 15:19:54.322, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:54.322, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:19:55.322, 4 %, 1 %, 5815 MiB, 46068 MiB, 64, 109.36 W
2025/07/17 15:19:55.322, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:55.322, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:19:56.322, 3 %, 0 %, 5815 MiB, 46068 MiB, 64, 107.05 W
2025/07/17 15:19:56.322, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:56.322, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.10 W
2025/07/17 15:19:57.322, 6 %, 0 %, 5815 MiB, 46068 MiB, 64, 105.40 W
2025/07/17 15:19:57.322, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:57.322, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.10 W
2025/07/17 15:19:58.322, 14 %, 2 %, 5815 MiB, 46068 MiB, 64, 105.31 W
2025/07/17 15:19:58.323, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:58.323, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:19:59.323, 21 %, 3 %, 5815 MiB, 46068 MiB, 64, 103.72 W
2025/07/17 15:19:59.323, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:19:59.323, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:20:00.323, 37 %, 6 %, 5815 MiB, 46068 MiB, 64, 105.67 W
2025/07/17 15:20:00.323, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:00.323, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:20:01.323, 10 %, 2 %, 5815 MiB, 46068 MiB, 64, 110.18 W
2025/07/17 15:20:01.323, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:01.323, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:02.323, 4 %, 1 %, 5815 MiB, 46068 MiB, 64, 106.82 W
2025/07/17 15:20:02.323, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:02.323, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.10 W
2025/07/17 15:20:03.324, 0 %, 0 %, 5815 MiB, 46068 MiB, 64, 106.43 W
2025/07/17 15:20:03.324, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:03.324, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:04.324, 7 %, 1 %, 5815 MiB, 46068 MiB, 64, 107.30 W
2025/07/17 15:20:04.324, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:04.324, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:20:05.324, 34 %, 5 %, 5815 MiB, 46068 MiB, 64, 107.39 W
2025/07/17 15:20:05.324, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:05.324, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:06.324, 4 %, 1 %, 5815 MiB, 46068 MiB, 64, 106.89 W
2025/07/17 15:20:06.324, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:06.324, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:07.325, 22 %, 4 %, 5815 MiB, 46068 MiB, 64, 107.52 W
2025/07/17 15:20:07.325, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:07.325, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:20:08.325, 14 %, 2 %, 5815 MiB, 46068 MiB, 64, 105.73 W
2025/07/17 15:20:08.325, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:08.325, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:09.325, 22 %, 4 %, 5807 MiB, 46068 MiB, 64, 114.21 W
2025/07/17 15:20:09.325, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:09.325, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:10.325, 7 %, 1 %, 5799 MiB, 46068 MiB, 64, 112.63 W
2025/07/17 15:20:10.325, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:10.326, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 15:20:11.326, 32 %, 7 %, 5799 MiB, 46068 MiB, 65, 119.92 W
2025/07/17 15:20:11.326, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:20:11.326, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.78 W
2025/07/17 15:20:12.326, 7 %, 1 %, 5799 MiB, 46068 MiB, 64, 108.14 W
2025/07/17 15:20:12.326, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:20:12.326, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 15:20:13.326, 7 %, 1 %, 5799 MiB, 46068 MiB, 64, 109.53 W
2025/07/17 15:20:13.326, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:13.326, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 15:20:14.326, 10 %, 1 %, 5799 MiB, 46068 MiB, 64, 107.88 W
2025/07/17 15:20:14.327, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:14.327, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:20:15.327, 14 %, 2 %, 5799 MiB, 46068 MiB, 65, 111.68 W
2025/07/17 15:20:15.327, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:20:15.327, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.04 W
2025/07/17 15:20:16.327, 0 %, 0 %, 5799 MiB, 46068 MiB, 64, 110.01 W
2025/07/17 15:20:16.327, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:20:16.327, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.04 W
2025/07/17 15:20:17.327, 15 %, 2 %, 5799 MiB, 46068 MiB, 65, 108.18 W
2025/07/17 15:20:17.327, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:17.327, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:20:18.327, 13 %, 2 %, 5799 MiB, 46068 MiB, 65, 105.77 W
2025/07/17 15:20:18.327, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:18.327, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 15:20:19.328, 4 %, 1 %, 5799 MiB, 46068 MiB, 64, 103.88 W
2025/07/17 15:20:19.328, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:19.328, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.75 W
2025/07/17 15:20:20.328, 11 %, 2 %, 5799 MiB, 46068 MiB, 64, 104.66 W
2025/07/17 15:20:20.328, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:20.328, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:20:21.328, 4 %, 1 %, 5799 MiB, 46068 MiB, 64, 103.37 W
2025/07/17 15:20:21.328, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:21.328, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:22.328, 14 %, 2 %, 5799 MiB, 46068 MiB, 65, 106.09 W
2025/07/17 15:20:22.328, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:22.328, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:20:23.329, 14 %, 2 %, 5799 MiB, 46068 MiB, 65, 106.07 W
2025/07/17 15:20:23.329, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:23.329, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:20:24.329, 4 %, 1 %, 5799 MiB, 46068 MiB, 65, 107.22 W
2025/07/17 15:20:24.329, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:24.329, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:25.329, 7 %, 1 %, 5799 MiB, 46068 MiB, 64, 104.23 W
2025/07/17 15:20:25.329, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:25.329, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.10 W
2025/07/17 15:20:26.329, 17 %, 3 %, 5799 MiB, 46068 MiB, 65, 109.54 W
2025/07/17 15:20:26.329, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:20:26.329, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:20:27.329, 0 %, 0 %, 5791 MiB, 46068 MiB, 65, 104.79 W
2025/07/17 15:20:27.330, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:20:27.330, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 15:20:28.330, 11 %, 2 %, 5767 MiB, 46068 MiB, 65, 110.24 W
2025/07/17 15:20:28.330, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:20:28.330, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 15:20:29.330, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 104.91 W
2025/07/17 15:20:29.330, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.85 W
2025/07/17 15:20:29.330, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.90 W
2025/07/17 15:20:30.330, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 101.23 W
2025/07/17 15:20:30.330, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.87 W
2025/07/17 15:20:30.330, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.80 W
2025/07/17 15:20:31.330, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 101.07 W
2025/07/17 15:20:31.330, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.87 W
2025/07/17 15:20:31.330, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 15:20:32.331, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 100.95 W
2025/07/17 15:20:32.331, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.99 W
2025/07/17 15:20:32.331, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.08 W
2025/07/17 15:20:33.331, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 100.95 W
2025/07/17 15:20:33.331, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.99 W
2025/07/17 15:20:33.331, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.96 W
2025/07/17 15:20:34.331, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 100.85 W
2025/07/17 15:20:34.331, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.85 W
2025/07/17 15:20:34.331, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.89 W
