timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 15:24:24.154, 0 %, 0 %, 5799 MiB, 46068 MiB, 63, 100.06 W
2025/07/17 15:24:24.155, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.85 W
2025/07/17 15:24:24.155, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.67 W
2025/07/17 15:24:25.156, 63 %, 13 %, 5799 MiB, 46068 MiB, 63, 100.63 W
2025/07/17 15:24:25.156, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.84 W
2025/07/17 15:24:25.156, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.65 W
2025/07/17 15:24:26.156, 21 %, 3 %, 5799 MiB, 46068 MiB, 63, 102.97 W
2025/07/17 15:24:26.156, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:24:26.156, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.74 W
2025/07/17 15:24:27.156, 0 %, 0 %, 5799 MiB, 46068 MiB, 63, 107.54 W
2025/07/17 15:24:27.156, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:24:27.156, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.79 W
2025/07/17 15:24:28.156, 12 %, 2 %, 5799 MiB, 46068 MiB, 63, 108.20 W
2025/07/17 15:24:28.156, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:24:28.156, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.81 W
2025/07/17 15:24:29.157, 11 %, 1 %, 5799 MiB, 46068 MiB, 63, 106.17 W
2025/07/17 15:24:29.157, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:24:29.157, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.92 W
2025/07/17 15:24:30.157, 11 %, 2 %, 5799 MiB, 46068 MiB, 63, 110.96 W
2025/07/17 15:24:30.157, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
