timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 15:21:20.763, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 100.43 W
2025/07/17 15:21:20.764, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.87 W
2025/07/17 15:21:20.764, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 15:21:21.765, 41 %, 12 %, 5767 MiB, 46068 MiB, 64, 106.28 W
2025/07/17 15:21:21.765, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.87 W
2025/07/17 15:21:21.765, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.02 W
2025/07/17 15:21:22.765, 8 %, 1 %, 5767 MiB, 46068 MiB, 64, 103.92 W
2025/07/17 15:21:22.765, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.85 W
2025/07/17 15:21:22.765, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:21:23.765, 4 %, 1 %, 5767 MiB, 46068 MiB, 64, 103.95 W
2025/07/17 15:21:23.765, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:23.765, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 15:21:24.766, 7 %, 1 %, 5767 MiB, 46068 MiB, 64, 114.56 W
2025/07/17 15:21:24.766, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:24.766, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 15:21:25.766, 7 %, 1 %, 5767 MiB, 46068 MiB, 64, 105.51 W
2025/07/17 15:21:25.766, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.94 W
2025/07/17 15:21:25.766, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.92 W
2025/07/17 15:21:26.766, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 104.44 W
2025/07/17 15:21:26.766, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.94 W
2025/07/17 15:21:26.766, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.97 W
2025/07/17 15:21:27.766, 4 %, 1 %, 5767 MiB, 46068 MiB, 64, 106.67 W
2025/07/17 15:21:27.767, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.95 W
2025/07/17 15:21:27.767, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.10 W
2025/07/17 15:21:28.767, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 103.06 W
2025/07/17 15:21:28.767, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.95 W
2025/07/17 15:21:28.767, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:21:29.767, 10 %, 3 %, 5767 MiB, 46068 MiB, 64, 112.01 W
2025/07/17 15:21:29.767, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:29.767, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.92 W
2025/07/17 15:21:30.767, 20 %, 3 %, 5767 MiB, 46068 MiB, 64, 105.86 W
2025/07/17 15:21:30.767, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:30.767, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.04 W
2025/07/17 15:21:31.767, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 103.06 W
2025/07/17 15:21:31.768, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:31.768, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:21:32.768, 24 %, 5 %, 5767 MiB, 46068 MiB, 64, 117.52 W
2025/07/17 15:21:32.768, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:32.768, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:21:33.768, 9 %, 1 %, 5767 MiB, 46068 MiB, 64, 111.67 W
2025/07/17 15:21:33.768, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:33.768, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:21:34.768, 7 %, 1 %, 5767 MiB, 46068 MiB, 64, 108.31 W
2025/07/17 15:21:34.768, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:34.768, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.16 W
2025/07/17 15:21:35.769, 0 %, 0 %, 5767 MiB, 46068 MiB, 64, 106.86 W
2025/07/17 15:21:35.769, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:35.769, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.11 W
2025/07/17 15:21:36.769, 4 %, 1 %, 5767 MiB, 46068 MiB, 64, 105.28 W
2025/07/17 15:21:36.769, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:36.769, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:21:37.769, 7 %, 1 %, 5767 MiB, 46068 MiB, 64, 102.88 W
2025/07/17 15:21:37.769, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:37.769, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:21:38.769, 4 %, 1 %, 5767 MiB, 46068 MiB, 64, 106.01 W
2025/07/17 15:21:38.770, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:21:38.770, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:21:39.770, 70 %, 13 %, 5767 MiB, 46068 MiB, 65, 114.14 W
2025/07/17 15:21:39.770, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.94 W
2025/07/17 15:21:39.770, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.96 W
2025/07/17 15:21:40.770, 54 %, 9 %, 5767 MiB, 46068 MiB, 64, 111.38 W
