timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 15:32:09.103, 0 %, 0 %, 3735 MiB, 46068 MiB, 63, 100.92 W
2025/07/17 15:32:09.103, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.86 W
2025/07/17 15:32:09.104, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.79 W
2025/07/17 15:32:10.104, 53 %, 6 %, 4631 MiB, 46068 MiB, 64, 105.71 W
2025/07/17 15:32:10.104, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.85 W
2025/07/17 15:32:10.104, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.95 W
2025/07/17 15:32:11.105, 5 %, 0 %, 5527 MiB, 46068 MiB, 64, 106.77 W
2025/07/17 15:32:11.105, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:32:11.105, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.05 W
2025/07/17 15:32:12.105, 4 %, 1 %, 5527 MiB, 46068 MiB, 63, 110.93 W
2025/07/17 15:32:12.105, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:32:12.105, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:32:13.105, 1 %, 0 %, 5655 MiB, 46068 MiB, 64, 107.10 W
2025/07/17 15:32:13.105, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:32:13.105, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:32:14.105, 3 %, 0 %, 5655 MiB, 46068 MiB, 63, 102.58 W
2025/07/17 15:32:14.106, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:32:14.106, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:32:15.106, 1 %, 0 %, 5655 MiB, 46068 MiB, 63, 104.61 W
