timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 15:30:10.077, 0 %, 0 %, 511 MiB, 46068 MiB, 62, 100.03 W
2025/07/17 15:30:10.078, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.74 W
2025/07/17 15:30:10.078, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.97 W
2025/07/17 15:30:11.079, 15 %, 2 %, 2735 MiB, 46068 MiB, 62, 103.15 W
2025/07/17 15:30:11.079, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.72 W
2025/07/17 15:30:11.079, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.95 W
2025/07/17 15:30:12.079, 44 %, 8 %, 3759 MiB, 46068 MiB, 63, 119.66 W
2025/07/17 15:30:12.079, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 15:30:12.079, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 15:30:13.079, 4 %, 1 %, 3759 MiB, 46068 MiB, 63, 112.16 W
2025/07/17 15:30:13.079, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.68 W
2025/07/17 15:30:13.079, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.03 W
2025/07/17 15:30:14.079, 15 %, 3 %, 3759 MiB, 46068 MiB, 63, 112.54 W
2025/07/17 15:30:14.079, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.69 W
2025/07/17 15:30:14.079, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.96 W
2025/07/17 15:30:15.080, 0 %, 0 %, 3759 MiB, 46068 MiB, 63, 105.24 W
2025/07/17 15:30:15.080, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:15.080, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.79 W
2025/07/17 15:30:16.080, 0 %, 0 %, 3759 MiB, 46068 MiB, 63, 104.85 W
2025/07/17 15:30:16.080, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:16.080, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:30:17.080, 0 %, 0 %, 3759 MiB, 46068 MiB, 63, 107.00 W
2025/07/17 15:30:17.080, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:17.080, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:30:18.080, 8 %, 1 %, 3759 MiB, 46068 MiB, 63, 105.36 W
2025/07/17 15:30:18.080, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:18.080, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.98 W
2025/07/17 15:30:19.081, 0 %, 0 %, 3759 MiB, 46068 MiB, 63, 105.62 W
2025/07/17 15:30:19.081, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:19.081, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.93 W
2025/07/17 15:30:20.081, 0 %, 0 %, 3759 MiB, 46068 MiB, 63, 106.89 W
2025/07/17 15:30:20.081, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:20.081, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:30:21.081, 3 %, 1 %, 4271 MiB, 46068 MiB, 63, 118.20 W
2025/07/17 15:30:21.081, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 15:30:21.081, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.04 W
2025/07/17 15:30:22.081, 0 %, 0 %, 4271 MiB, 46068 MiB, 63, 119.37 W
2025/07/17 15:30:22.081, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 15:30:22.081, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.04 W
2025/07/17 15:30:23.081, 0 %, 0 %, 4271 MiB, 46068 MiB, 63, 109.44 W
2025/07/17 15:30:23.082, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:23.082, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 15:30:24.082, 0 %, 0 %, 4271 MiB, 46068 MiB, 63, 113.90 W
2025/07/17 15:30:24.082, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:24.082, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 15:30:25.082, 11 %, 2 %, 4271 MiB, 46068 MiB, 63, 110.90 W
2025/07/17 15:30:25.082, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:25.082, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:30:26.082, 27 %, 4 %, 4271 MiB, 46068 MiB, 63, 111.04 W
2025/07/17 15:30:26.082, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:26.082, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:30:27.082, 11 %, 2 %, 4271 MiB, 46068 MiB, 63, 105.97 W
2025/07/17 15:30:27.083, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:30:27.083, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:30:28.083, 82 %, 15 %, 4271 MiB, 46068 MiB, 64, 129.49 W
2025/07/17 15:30:28.083, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.80 W
2025/07/17 15:30:28.083, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 15:30:29.083, 77 %, 21 %, 4783 MiB, 46068 MiB, 65, 158.47 W
2025/07/17 15:30:29.083, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.79 W
2025/07/17 15:30:29.083, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.83 W
2025/07/17 15:30:30.083, 0 %, 0 %, 4265 MiB, 46068 MiB, 63, 110.81 W
2025/07/17 15:30:30.084, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 15:30:30.084, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.85 W
2025/07/17 15:30:31.084, 4 %, 1 %, 4265 MiB, 46068 MiB, 64, 103.97 W
2025/07/17 15:30:31.084, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:31.084, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:30:32.084, 0 %, 0 %, 4265 MiB, 46068 MiB, 64, 117.59 W
2025/07/17 15:30:32.084, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:32.084, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 15:30:33.084, 5 %, 1 %, 4265 MiB, 46068 MiB, 63, 111.38 W
2025/07/17 15:30:33.084, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:33.084, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 15:30:34.084, 5 %, 1 %, 4265 MiB, 46068 MiB, 63, 109.30 W
2025/07/17 15:30:34.084, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:34.085, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:30:35.085, 3 %, 1 %, 4265 MiB, 46068 MiB, 64, 116.39 W
2025/07/17 15:30:35.085, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:30:35.085, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
2025/07/17 15:30:36.085, 4 %, 1 %, 4649 MiB, 46068 MiB, 64, 127.66 W
2025/07/17 15:30:36.085, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 15:30:36.085, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.99 W
2025/07/17 15:30:37.085, 42 %, 12 %, 4777 MiB, 46068 MiB, 64, 136.20 W
2025/07/17 15:30:37.085, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.80 W
2025/07/17 15:30:37.085, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.98 W
2025/07/17 15:30:38.085, 0 %, 0 %, 4777 MiB, 46068 MiB, 64, 123.54 W
2025/07/17 15:30:38.085, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.79 W
2025/07/17 15:30:38.085, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.98 W
2025/07/17 15:30:39.086, 0 %, 0 %, 4389 MiB, 46068 MiB, 64, 109.77 W
2025/07/17 15:30:39.086, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 15:30:39.086, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 15:30:40.086, 4 %, 1 %, 4389 MiB, 46068 MiB, 64, 103.85 W
2025/07/17 15:30:40.086, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:40.086, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 15:30:41.086, 0 %, 0 %, 4389 MiB, 46068 MiB, 64, 105.79 W
2025/07/17 15:30:41.086, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:30:41.086, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 33.00 W
