timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 15:13:34.300, 0 %, 0 %, 5743 MiB, 46068 MiB, 62, 98.87 W
2025/07/17 15:13:34.301, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.87 W
2025/07/17 15:13:34.301, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.84 W
2025/07/17 15:13:35.301, 23 %, 5 %, 5743 MiB, 46068 MiB, 62, 101.37 W
2025/07/17 15:13:35.301, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.85 W
2025/07/17 15:13:35.301, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 15:13:36.302, 20 %, 4 %, 5743 MiB, 46068 MiB, 62, 112.85 W
2025/07/17 15:13:36.302, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:36.302, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.81 W
2025/07/17 15:13:37.302, 8 %, 2 %, 5743 MiB, 46068 MiB, 62, 108.26 W
2025/07/17 15:13:37.302, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:37.302, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.74 W
2025/07/17 15:13:38.302, 45 %, 10 %, 5743 MiB, 46068 MiB, 63, 113.35 W
2025/07/17 15:13:38.302, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:38.302, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.74 W
2025/07/17 15:13:39.302, 16 %, 3 %, 5743 MiB, 46068 MiB, 62, 106.45 W
2025/07/17 15:13:39.303, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:39.303, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:13:40.303, 0 %, 0 %, 5743 MiB, 46068 MiB, 63, 108.46 W
2025/07/17 15:13:40.303, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:40.303, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:13:41.303, 0 %, 0 %, 5735 MiB, 46068 MiB, 62, 106.68 W
2025/07/17 15:13:41.303, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:41.303, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:13:42.303, 8 %, 2 %, 5735 MiB, 46068 MiB, 62, 100.89 W
2025/07/17 15:13:42.303, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:42.303, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:13:43.303, 25 %, 5 %, 5735 MiB, 46068 MiB, 63, 106.44 W
2025/07/17 15:13:43.304, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:43.304, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:13:44.304, 4 %, 1 %, 5735 MiB, 46068 MiB, 62, 109.67 W
2025/07/17 15:13:44.304, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:44.304, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 15:13:45.304, 0 %, 0 %, 5735 MiB, 46068 MiB, 62, 102.51 W
2025/07/17 15:13:45.304, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:45.304, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 15:13:46.304, 8 %, 2 %, 5735 MiB, 46068 MiB, 63, 106.86 W
2025/07/17 15:13:46.304, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:13:46.305, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:13:47.305, 9 %, 2 %, 5735 MiB, 46068 MiB, 63, 112.14 W
2025/07/17 15:13:47.305, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.82 W
2025/07/17 15:13:47.305, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:13:48.305, 19 %, 4 %, 5735 MiB, 46068 MiB, 63, 109.62 W
2025/07/17 15:13:48.305, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:48.305, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 15:13:49.305, 0 %, 0 %, 5727 MiB, 46068 MiB, 63, 108.74 W
2025/07/17 15:13:49.305, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:13:49.305, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.81 W
